ID,Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Profit
17,45,CA-2019-118255,3/11/2019,3/13/2019,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714
18,46,CA-2019-118255,3/11/2019,3/13/2019,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.2062
19,48,CA-2019-169194,6/20/2019,6/25/2019,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,4.95
20,49,CA-2019-169194,6/20/2019,6/25/2019,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,6.104
21,54,CA-2019-105816,12/11/2019,12/17/2019,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,6.2566
22,55,CA-2019-105816,12/11/2019,12/17/2019,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,298.6855
23,56,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,52.14
24,57,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,15.552
25,58,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,7.098
26,59,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,6.9888
27,60,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,3.3
28,61,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,16.362
29,62,CA-2019-111682,6/17/2019,6/18/2019,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.84
30,70,CA-2019-119823,6/4/2019,6/6/2019,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,35.6636
31,71,CA-2019-106075,9/18/2019,9/23/2019,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731
32,72,CA-2020-114440,9/14/2020,9/17/2020,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,8.763
33,76,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,-1.9344
34,77,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,-5.8248
35,78,US-2020-118038,12/9/2020,12/11/2020,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,2.724
36,80,CA-2019-127208,6/12/2019,6/15/2019,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,56.2032
37,81,CA-2019-127208,6/12/2019,6/15/2019,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,8.0352
38,85,US-2020-119662,11/13/2020,11/16/2020,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,-48.9549
39,86,CA-2020-140088,5/28/2020,5/30/2020,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,33.2156
40,87,CA-2020-155558,10/26/2020,11/2/2020,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,6.7966
41,88,CA-2020-155558,10/26/2020,11/2/2020,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,2.9568
42,89,CA-2019-159695,4/5/2019,4/10/2019,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,13.8572
43,90,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,6.633
44,91,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,8.2782
45,92,CA-2019-109806,9/17/2019,9/22/2019,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,3.1104
46,96,US-2020-109484,11/6/2020,11/12/2020,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,-3.788
47,97,CA-2020-161018,11/9/2020,11/11/2020,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,40.5426
48,98,CA-2020-157833,6/17/2020,6/20/2020,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,17.9592
49,99,CA-2019-149223,9/6/2019,9/11/2019,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,22.5852
50,100,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,22.6184
51,101,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,-10.7973
52,102,CA-2019-158568,8/29/2019,9/2/2019,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,-3.0396
53,103,CA-2019-129903,12/1/2019,12/4/2019,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,11.7208
54,107,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,17.6016
55,108,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,2.0994
56,109,CA-2020-119004,11/23/2020,11/28/2020,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1,1.0738
57,111,CA-2020-146780,12/25/2020,12/30/2020,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,10.9096
58,112,CA-2019-128867,11/3/2019,11/10/2019,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,22.788
59,113,CA-2019-128867,11/3/2019,11/10/2019,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,13.3476
60,120,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,18.3456
61,121,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,13.878
62,122,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,63.4368
63,123,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,51.759
64,124,CA-2019-103730,6/12/2019,6/15/2019,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,19.7316
65,127,US-2020-107272,11/5/2020,11/12/2020,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,-1.8308
66,128,US-2020-107272,11/5/2020,11/12/2020,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,30.499
67,129,US-2019-125969,11/6/2019,11/10/2019,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,-9.1602
68,130,US-2019-125969,11/6/2019,11/10/2019,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,26.2416
69,131,US-2020-164147,2/2/2020,2/5/2020,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,-11.994
70,132,US-2020-164147,2/2/2020,2/5/2020,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,29.364
71,133,US-2020-164147,2/2/2020,2/5/2020,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,6.9732
72,134,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,9.6192
73,135,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1,16.6568
74,136,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456
75,137,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,1.9698
76,138,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,26.6616
77,139,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,18.4464
78,140,CA-2019-145583,10/13/2019,10/19/2019,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,20.6976
79,141,CA-2019-110366,9/5/2019,9/7/2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,10.35
80,142,CA-2020-106180,9/18/2020,9/23/2020,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,2.3814
81,143,CA-2020-106180,9/18/2020,9/23/2020,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,5.1042
82,144,CA-2020-106180,9/18/2020,9/23/2020,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,3,68.976
83,145,CA-2020-155376,12/22/2020,12/27/2020,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,218.2518
84,148,CA-2019-114489,12/5/2019,12/9/2019,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,103.8015
85,149,CA-2019-114489,12/5/2019,12/9/2019,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,5.9988
86,150,CA-2019-114489,12/5/2019,12/9/2019,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,585.552
87,151,CA-2019-114489,12/5/2019,12/9/2019,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,80.6285
88,152,CA-2019-158834,3/13/2019,3/16/2019,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,17.766
89,153,CA-2019-158834,3/13/2019,3/16/2019,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,15.2388
90,159,CA-2019-114104,11/20/2019,11/24/2019,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,6.8714
91,160,CA-2019-114104,11/20/2019,11/24/2019,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93,7,236.2325
92,161,CA-2019-162733,5/11/2019,5/12/2019,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,2.691
93,163,CA-2019-154508,11/16/2019,11/20/2019,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5,13.348
94,164,CA-2019-113817,11/7/2019,11/11/2019,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,9.688
95,177,US-2020-152366,4/21/2020,4/25/2020,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,-243.16
96,186,CA-2019-105018,11/28/2019,12/2/2019,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,3.4368
97,188,CA-2019-157000,7/16/2019,7/22/2019,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,3.7224
98,189,CA-2019-157000,7/16/2019,7/22/2019,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,Central,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,6.255
99,198,CA-2020-107720,11/6/2020,11/13/2020,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26,3,12.0276
100,199,US-2020-124303,7/6/2020,7/13/2020,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,-2.2586
101,200,US-2020-124303,7/6/2020,7/13/2020,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,5.8203
102,201,CA-2020-105074,6/24/2020,6/29/2020,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,6.795
103,204,US-2020-116701,12/17/2020,12/21/2020,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.284,2,-178.9668
104,205,CA-2020-126382,6/3/2020,6/7/2020,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,9.6712
105,206,CA-2020-108329,12/9/2020,12/14/2020,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.768,4,44.4768
106,207,CA-2020-135860,12/1/2020,12/7/2020,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,4,5.8744
107,208,CA-2020-135860,12/1/2020,12/7/2020,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,35.6346
108,209,CA-2020-135860,12/1/2020,12/7/2020,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92,4,7.4824
109,210,CA-2020-135860,12/1/2020,12/7/2020,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29,9,16.2099
110,211,CA-2020-135860,12/1/2020,12/7/2020,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,3.6796
111,218,CA-2019-130162,10/28/2019,11/1/2019,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,26.0568
112,219,CA-2019-130162,10/28/2019,11/1/2019,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376,3,22.6782
113,232,US-2020-100930,4/7/2020,4/12/2020,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,South,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86,2,-102.048
114,233,US-2020-100930,4/7/2020,4/12/2020,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,South,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,-248.2458
